UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
30,M10010,M,300.8,309.1,1628,40.3,91,0,0,0,0,0,0
31,M10011,M,300.7,309.0,1645,54.7,94,1,0,0,1,0,0
32,H70008,H,300.7,309.0,1655,43.1,99,0,0,0,0,0,0
33,L50014,L,300.7,309.0,1237,52.5,101,1,0,1,0,0,0
34,L50015,L,300.7,309.0,1567,37.7,103,0,0,0,0,0,0
35,L50016,L,300.6,309.0,1825,50.9,105,1,0,0,1,0,0
36,L50017,L,300.7,309.0,1563,42.4,107,0,0,0,0,0,0
37,L50018,L,300.6,309.0,1615,48.8,109,0,0,0,0,0,0
38,L50019,L,300.6,309.0,1690,49.7,111,0,0,0,0,0,0
39,L50020,L,300.6,309.0,1703,30.6,113,0,0,0,0,0,0
40,M10012,M,300.6,309.0,1574,40.7,116,0,0,0,0,0,0
41,L50021,L,300.6,308.9,1673,49.6,118,0,0,0,0,0,0
42,H70009,H,300.5,308.9,1471,51.2,123,0,0,0,0,0,0
43,M10013,M,300.5,308.9,1742,52.5,2,1,0,0,1,0,0
44,L50022,L,300.4,308.8,1670,41.0,4,0,0,0,0,0,0
45,H70010,H,300.4,308.8,1547,55.4,9,0,0,0,0,0,0
46,H70011,H,300.5,308.9,1557,33.4,14,0,0,0,0,0,0
47,L50023,L,300.5,308.9,1624,25.1,16,0,0,0,0,0,0
48,L50024,L,300.5,308.9,1660,37.2,18,0,0,0,0,0,0
49,M10014,M,300.5,308.9,1758,52.0,21,1,0,0,1,0,0
50,L50025,L,300.5,308.9,1727,29.1,23,0,0,0,0,0,0
51,L50026,L,300.5,308.8,1758,25.3,25,0,0,0,0,0,0
52,L50027,L,300.4,308.8,1774,22.8,5,0,0,0,0,0,0
53,M10015,M,300.4,308.8,1824,47.4,8,1,0,0,1,0,0
54,M10016,M,300.4,308.8,1686,25.5,11,0,0,0,0,0,0
55,M10017,M,300.4,308.8,1762,45.5,14,0,0,0,0,0,0
56,M10018,M,300.4,308.7,1631,36.7,17,0,0,0,0,0,0
57,L50028,L,300.5,308.8,1627,32.3,19,0,0,0,0,0,0
58,M10019,M,300.4,308.8,1695,30.0,22,0,0,0,0,0,0
59,L50029,L,300.4,308.8,1632,42.1,24,0,0,0,0,0,0
60,L50030,L,300.4,308.7,1740,32.5,26,0,0,0,0,0,0
61,M10020,M,300.4,308.7,1441,40.0,29,0,0,0,0,0,0
62,L50031,L,300.3,308.7,1642,44.0,31,0,0,0,0,0,0
63,M10021,M,300.4,308.7,1564,46.1,34,0,0,0,0,0,0
64,M10022,M,300.4,308.7,1536,49.3,37,0,0,0,0,0,0
65,M10023,M,300.4,308.7,1525,41.6,40,0,0,0,0,0,0
66,M10024,M,300.3,308.7,1672,29.5,43,0,0,0,0,0,0
67,M10025,M,300.3,308.7,1229,44.7,46,1,0,1,0,0,0
68,L50032,L,300.3,308.6,1577,46.6,48,0,0,0,0,0,0
69,L50033,L,300.3,308.6,1512,38.2,50,0,0,0,0,0,0
70,L50034,L,300.3,308.6,1674,37.1,52,0,0,0,0,0,0
71,L50035,L,300.3,308.6,1450,64.8,54,1,0,0,1,0,0
72,L50036,L,300.3,308.6,1570,27.1,56,0,0,0,0,0,0
73,H70012,H,300.3,308.6,1575,44.9,61,0,0,0,0,0,0
74,L50037,L,300.2,308.6,1526,50.5,63,0,0,0,0,0,0
75,L50038,L,300.2,308.6,1671,36.6,65,0,0,0,0,0,0
76,L50039,L,300.2,308.6,1608,38.3,67,0,0,0,0,0,0
77,L50040,L,300.2,308.6,1540,36.0,69,0,0,0,0,0,0
78,M10026,M,300.3,308.6,1570,40.0,72,0,0,0,0,0,0
79,M10027,M,300.3,308.6,1448,49.0,75,0,0,0,0,0,0
80,M10028,M,300.2,308.6,1763,38.0,78,0,0,0,0,0,0
81,M10029,M,300.2,308.6,1605,71.1,81,1,0,0,1,0,0
82,L50041,L,300.2,308.6,1801,35.5,83,0,0,0,0,0,0
83,H70013,H,300.2,308.6,1525,53.8,88,0,0,0,0,0,0
84,L50042,L,300.2,308.6,1738,45.4,90,0,0,0,0,0,0
85,L50043,L,300.2,308.6,1681,41.1,92,0,0,0,0,0,0
86,L50044,L,300.2,308.6,1500,54.7,94,0,0,0,0,0,0
87,M10030,M,300.2,308.6,1677,24.0,97,0,0,0,0,0,0
88,L50045,L,300.2,308.5,1612,44.3,99,0,0,0,0,0,0
89,L50046,L,300.2,308.5,1696,32.8,101,0,0,0,0,0,0
90,M10031,M,300.2,308.5,1705,35.6,104,0,0,0,0,0,0
91,L50047,L,300.2,308.5,1675,35.2,106,0,0,0,0,0,0
92,M10032,M,300.2,308.6,1669,30.4,109,0,0,0,0,0,0
93,L50048,L,300.1,308.5,1858,23.5,111,0,0,0,0,0,0
94,L50049,L,300.1,308.5,1620,43.9,113,0,0,0,0,0,0
95,L50050,L,300.1,308.6,1638,39.3,115,0,0,0,0,0,0
96,M10033,M,300.2,308.6,1646,37.0,118,0,0,0,0,0,0
97,L50051,L,300.2,308.6,1600,47.6,120,0,0,0,0,0,0
98,L50052,L,300.1,308.6,1504,44.5,122,0,0,0,0,0,0
99,L50053,L,300.1,308.6,1574,37.3,124,0,0,0,0,0,0
100,H70014,H,300.2,308.6,1711,70.5,129,1,0,0,1,0,0
101,H70015,H,300.1,308.6,1449,50.2,134,0,0,0,0,0,0
102,M10034,M,300.1,308.5,1547,64.4,137,1,0,0,1,0,0
103,L50054,L,300.1,308.5,1702,35.9,139,0,0,0,0,0,0
104,H70016,H,300.1,308.6,1728,42.5,144,0,0,0,0,0,0
105,M10035,M,300.1,308.5,1747,27.6,147,0,0,0,0,0,0
106,M10036,M,300.1,308.6,1837,36.7,150,0,0,0,0,0,0
107,L50055,L,300.1,308.5,1702,34.2,152,0,0,0,0,0,0
108,L50056,L,300.0,308.5,1616,70.0,154,1,0,0,1,0,0
109,L50057,L,300.0,308.4,1780,33.1,156,0,0,0,0,0,0
110,H70017,H,299.9,308.4,1801,37.7,161,0,0,0,0,0,0
111,L50058,L,300.0,308.4,1728,25.5,163,0,0,0,0,0,0
112,L50059,L,300.1,308.5,1658,45.3,165,0,0,0,0,0,0
113,L50060,L,300.1,308.5,1664,31.0,167,0,0,0,0,0,0
114,M10037,M,300.0,308.5,1617,49.2,170,0,0,0,0,0,0
115,L50061,L,300.0,308.5,1762,22.1,172,0,0,0,0,0,0
116,H70018,H,300.0,308.5,1889,38.8,177,0,0,0,0,0,0
117,M10038,M,300.0,308.4,1733,21.5,180,0,0,0,0,0,0
118,M10039,M,300.0,308.4,1756,35.1,183,0,0,0,0,0,0
119,L50062,L,300.0,308.5,1543,37.1,185,0,0,0,0,0,0
120,M10040,M,300.0,308.5,1592,34.0,188,0,0,0,0,0,0
121,M10041,M,300.0,308.4,1780,35.0,191,0,0,0,0,0,0
122,M10042,M,300.0,308.4,1720,49.7,194,0,0,0,0,0,0
123,L50063,L,300.0,308.4,1481,61.7,196,1,0,0,1,1,0
124,L50064,L,300.0,308.5,1648,43.4,198,0,0,0,0,0,0
125,L50065,L,300.0,308.4,1688,31.4,200,0,0,0,0,0,0
126,L50066,L,300.0,308.4,1753,40.6,202,0,0,0,0,0,0
127,L50067,L,300.0,308.5,1620,36.5,204,0,0,0,0,0,0
128,L50068,L,300.0,308.5,1220,48.9,206,1,0,1,0,0,0
129,L50069,L,300.0,308.5,1756,42.9,208,0,0,0,0,0,0
130,M10043,M,300.1,308.6,1642,24.2,211,0,0,0,0,0,0
131,L50070,L,300.1,308.6,1548,51.0,213,0,0,0,0,0,0
132,H70019,H,300.0,308.5,1612,49.7,218,0,0,0,0,0,0
133,M10044,M,300.0,308.6,1709,55.0,221,1,0,0,1,1,0
134,L50071,L,300.1,308.6,1569,34.8,223,0,0,0,0,0,0
135,M10045,M,300.1,308.6,1570,43.0,226,0,0,0,0,0,0
136,L50072,L,300.1,308.6,1765,28.2,228,0,0,0,0,0,0
137,H70020,H,300.0,308.6,1720,39.5,233,0,0,0,0,0,0
138,L50073,L,300.0,308.6,1648,44.0,235,0,0,0,0,0,0
139,M10046,M,300.1,308.6,1673,33.6,238,0,0,0,0,0,0
140,L50074,L,300.0,308.6,1644,43.4,240,0,0,0,0,0,0
141,L50075,L,300.0,308.6,1506,41.7,242,0,0,0,0,0,0
142,L50076,L,300.0,308.6,1683,35.5,244,0,0,0,0,0,0
143,H70021,H,300.0,308.6,1711,54.0,249,1,0,0,1,1,0
144,M10047,M,300.0,308.6,1543,37.7,252,0,0,0,0,0,0
145,L50077,L,300.0,308.6,1573,41.3,2,0,0,0,0,0,0
146,L50078,L,300.0,308.6,1691,25.3,4,0,0,0,0,0,0
147,L50079,L,300.0,308.6,1593,45.2,6,0,0,0,0,0,0
148,M10048,M,299.9,308.5,1841,35.2,9,0,0,0,0,0,0
149,L50080,L,299.9,308.5,1516,49.6,11,0,0,0,0,0,0
150,L50081,L,299.9,308.5,1616,26.9,13,0,0,0,0,0,0
151,H70022,H,300.0,308.6,1697,44.3,18,0,0,0,0,0,0
152,H70023,H,300.0,308.7,1705,18.2,23,1,0,0,1,0,0
153,L50082,L,300.1,308.7,1689,46.2,25,0,0,0,0,0,0
154,M10049,M,300.1,308.7,1641,38.3,28,0,0,0,0,0,0
155,L50083,L,300.1,308.7,1671,44.0,30,0,0,0,0,0,0
156,M10050,M,300.1,308.7,1540,34.0,33,0,0,0,0,0,0
157,L50084,L,300.2,308.8,1740,30.5,35,0,0,0,0,0,0
158,M10051,M,300.1,308.8,1692,35.7,38,0,0,0,0,0,0
159,M10052,M,300.2,308.3,1617,41.9,41,0,0,0,0,0,0
160,M10053,M,300.2,308.7,1509,45.8,44,0,0,0,0,0,0
161,L50085,L,300.2,308.8,1654,43.0,46,0,0,0,0,0,0
162,H70024,H,300.1,308.8,1764,30.6,51,0,0,0,0,0,0
163,L50086,L,300.2,308.8,1507,58.4,53,1,0,0,1,0,0
164,L50087,L,300.2,308.8,1587,43.3,55,0,0,0,0,0,0
165,M10054,M,300.2,308.8,1754,33.8,58,0,0,0,0,0,0
166,L50088,L,300.2,308.9,1782,44.2,60,0,0,0,0,0,0
167,H70025,H,300.2,308.8,1721,42.6,65,0,0,0,0,0,0
168,H70026,H,300.2,308.9,1680,38.2,70,0,0,0,0,0,0
169,L50089,L,300.2,308.9,1643,37.1,72,0,0,0,0,0,0
170,H70027,H,300.2,308.9,1596,49.8,77,0,0,0,0,0,0
171,L50090,L,300.2,308.9,1441,57.3,79,0,0,0,0,0,0
172,M10055,M,300.2,308.9,1742,19.6,82,0,0,0,0,0,0
173,L50091,L,300.1,308.9,1687,52.3,84,1,0,0,1,0,0
174,H70028,H,300.1,308.8,1653,40.2,89,0,0,0,0,0,0
175,L50092,L,300.1,308.8,1581,42.4,91,0,0,0,0,0,0
176,L50093,L,300.1,308.8,1515,53.5,93,0,0,0,0,0,0
177,L50094,L,300.1,308.8,1785,13.5,95,1,0,0,1,0,0
178,H70029,H,300.0,308.7,1497,48.1,100,0,0,0,0,0,0
179,H70030,H,300.0,308.7,1152,52.8,105,0,0,0,0,0,0
180,M10056,M,300.0,308.2,1824,33.1,108,0,0,0,0,0,0
181,H70031,H,300.0,308.7,1629,26.1,113,0,0,0,0,0,0
182,H70032,H,300.0,308.7,1493,56.4,118,0,0,0,0,0,0
183,M10057,M,300.0,308.7,1768,22.4,121,0,0,0,0,0,0
184,L50095,L,300.1,308.8,1588,44.2,123,0,0,0,0,0,0
185,M10058,M,300.1,308.8,2025,50.2,126,1,0,0,1,0,0
186,M10059,M,300.0,308.8,1707,44.0,129,0,0,0,0,0,0
187,L50096,L,300.1,308.8,1901,45.6,131,1,0,0,1,0,0
188,L50097,L,300.1,308.8,1732,37.3,133,0,0,0,0,0,0
189,M10060,M,300.2,308.9,1574,44.6,136,0,0,0,0,0,0
190,L50098,L,300.1,308.9,1661,32.9,138,0,0,0,0,0,0
191,H70033,H,300.1,308.8,1853,34.2,143,0,0,0,0,0,0
192,L50099,L,300.1,308.8,1522,40.4,145,0,0,0,0,0,0
193,L50100,L,300.1,308.9,1783,24.6,147,0,0,0,0,0,0
194,H70034,H,300.1,308.9,1722,45.8,152,0,0,0,0,0,0
195,L50101,L,300.1,308.9,1717,15.2,154,1,0,0,1,0,0
196,L50102,L,300.1,308.9,1571,43.6,156,0,0,0,0,0,0
197,M10061,M,300.1,308.9,1593,44.6,159,0,0,0,0,0,0
198,H70035,H,300.1,308.9,1629,32.1,164,0,0,0,0,0,0
199,L50103,L,300.1,308.9,1720,27.7,166,0,0,0,0,0,0
200,L50104,L,300.1,308.9,1752,35.9,168,0,0,0,0,0,0
201,M10062,M,300.2,308.9,2004,46.4,171,1,0,0,1,0,0
202,H70036,H,300.2,309.0,1716,43.5,176,0,0,0,0,0,0
203,M10063,M,300.2,309.0,1834,28.9,179,0,0,0,0,0,0
204,L50105,L,300.2,308.9,1683,41.1,181,0,0,0,0,0,0
205,L50106,L,300.2,308.9,1684,42.6,183,0,0,0,0,0,0
206,L50107,L,300.2,308.9,1585,42.2,185,0,0,0,0,0,0
207,L50108,L,300.1,308.9,1465,30.1,187,0,0,0,0,0,0
208,M10064,M,300.1,308.9,1695,41.6,190,0,0,0,0,0,0
209,L50109,L,300.1,308.9,1674,49.2,192,0,0,0,0,0,0
210,M10065,M,300.1,308.9,1644,45.4,195,0,0,0,0,0,0
211,M10066,M,300.1,308.9,1710,44.1,198,0,0,0,0,0,0
212,M10067,M,300.0,308.8,1515,56.4,201,0,0,0,0,0,0
213,L50110,L,300.1,308.9,1688,41.7,203,0,0,0,0,0,0
214,H70037,H,300.0,308.8,1826,31.6,208,0,0,0,0,0,0
215,M10068,M,300.0,308.8,1754,31.6,211,1,1,0,0,0,0
216,M10069,M,300.1,308.9,1762,41.8,214,0,0,0,0,0,0
217,L50111,L,300.1,308.9,1846,25.6,216,0,0,0,0,0,0
218,L50112,L,300.1,308.9,1556,36.9,218,1,1,0,0,0,0
219,H70038,H,300.1,308.9,1691,44.6,223,0,0,0,0,0,0
220,L50113,L,300.2,309.0,1532,51.7,225,1,1,0,0,1,0
221,L50114,L,300.2,309.0,1631,24.6,227,0,0,0,0,0,0
222,L50115,L,300.2,309.1,1619,41.0,229,1,1,0,0,0,0
223,M10070,M,300.2,309.0,1811,39.3,232,0,0,0,0,0,0
224,H70039,H,300.1,309.0,1599,40.4,237,0,0,0,0,0,0
225,L50116,L,300.2,309.0,1484,41.4,239,0,0,0,0,0,0
226,H70040,H,300.1,309.0,1522,39.7,244,0,0,0,0,0,0
227,L50117,L,300.2,309.1,1621,53.9,246,1,0,0,1,1,0
228,M10071,M,300.2,309.0,1167,52.4,249,1,0,0,0,1,0
229,M10072,M,300.2,309.1,1355,61.4,252,1,0,0,0,1,0
230,L50118,L,300.2,309.1,1524,39.9,8,0,0,0,0,0,0
231,L50119,L,300.2,309.1,1686,35.9,10,0,0,0,0,0,0
232,L50120,L,300.2,308.4,1770,30.3,12,0,0,0,0,0,0
233,H70041,H,300.3,309.1,1637,34.8,17,0,0,0,0,0,0
234,M10073,M,300.2,309.1,1671,47.1,20,0,0,0,0,0,0
235,H70042,H,300.2,309.1,1687,48.7,25,0,0,0,0,0,0
236,H70043,H,300.2,309.1,1544,46.8,30,0,0,0,0,0,0
237,L50121,L,300.2,309.1,1674,33.4,32,0,0,0,0,0,0
238,M10074,M,300.3,309.2,1630,33.4,35,0,0,0,0,0,0
239,L50122,L,300.2,309.1,1597,59.6,37,1,0,0,1,0,0
240,L50123,L,300.2,309.0,1638,31.7,39,0,0,0,0,0,0
241,H70044,H,300.2,309.0,1467,54.2,44,0,0,0,0,0,0
242,M10075,M,300.2,309.1,1634,44.0,47,0,0,0,0,0,0
243,L50124,L,300.2,309.1,1788,32.7,49,0,0,0,0,0,0
244,M10076,M,300.2,309.1,1758,28.2,52,0,0,0,0,0,0
245,M10077,M,300.3,309.1,1776,33.1,55,0,0,0,0,0,0
246,H70045,H,300.2,309.1,1361,44.2,60,0,0,0,0,0,0
247,M10078,M,300.2,309.1,1701,30.9,63,0,0,0,0,0,0
248,L50125,L,300.2,309.1,1515,55.5,65,0,0,0,0,0,0
249,L50126,L,300.2,309.1,1583,37.9,67,0,0,0,0,0,0
250,L50127,L,300.2,309.1,1471,47.0,69,0,0,0,0,0,0
251,M10079,M,300.2,309.1,2145,46.2,72,1,0,0,1,0,0
252,H70046,H,300.2,309.1,1536,56.2,77,1,0,0,1,0,0
253,L50128,L,300.2,309.1,1519,35.6,79,0,0,0,0,0,0
254,L50129,L,300.2,309.1,1756,41.1,81,0,0,0,0,0,0
255,L50130,L,300.2,309.1,1731,26.0,83,0,0,0,0,0,0
256,M10080,M,300.2,309.2,1732,41.0,86,0,0,0,0,0,0
257,H70047,H,300.2,309.1,1567,51.4,91,0,0,0,0,0,0
258,L50131,L,300.2,309.1,1567,42.2,93,0,0,0,0,0,0
259,L50132,L,300.1,309.1,1570,63.1,95,1,0,0,1,0,0
260,M10081,M,300.1,309.1,1671,45.2,98,0,0,0,0,0,0
261,L50133,L,300.1,309.1,1653,34.6,100,0,0,0,0,0,0
262,H70048,H,300.2,309.1,1745,44.6,105,0,0,0,0,0,0
263,L50134,L,300.2,309.1,1811,25.4,107,0,0,0,0,0,0
264,L50135,L,300.2,309.1,1742,32.0,109,0,0,0,0,0,0
265,H70049,H,300.3,309.2,1613,27.8,114,0,0,0,0,0,0
266,L50136,L,300.2,309.2,1537,40.2,116,0,0,0,0,0,0
267,L50137,L,300.2,309.1,1761,39.4,118,0,0,0,0,0,0
268,L50138,L,300.1,309.1,1390,52.1,120,0,0,0,0,0,0
269,L50139,L,300.1,309.1,1647,39.0,122,0,0,0,0,0,0
270,L50140,L,300.1,309.1,1715,30.0,124,0,0,0,0,0,0
271,L50141,L,300.1,309.1,1525,55.6,126,0,0,0,0,0,0
272,L50142,L,300.1,309.1,1800,10.6,128,1,0,0,1,0,0
273,L50143,L,300.2,309.2,1686,40.4,130,0,0,0,0,0,0
274,M10082,M,300.2,309.2,1586,42.2,133,0,0,0,0,0,0
275,M10083,M,300.3,309.3,1730,39.9,136,0,0,0,0,0,0
276,L50144,L,300.3,309.3,1676,45.0,138,0,0,0,0,0,0
277,L50145,L,300.2,309.2,1628,41.1,140,0,0,0,0,0,0
278,M10084,M,300.2,309.3,1550,45.0,7,0,0,0,0,0,0
279,H70050,H,300.2,309.2,1673,34.0,12,0,0,0,0,0,0
280,H70051,H,300.2,309.2,1916,25.4,17,0,0,0,0,0,0
281,L50146,L,300.2,309.2,1584,39.5,19,0,0,0,0,0,0
282,L50147,L,300.2,309.2,1841,29.7,21,0,0,0,0,0,0
283,L50148,L,300.2,309.2,1530,32.7,23,0,0,0,0,0,0
284,L50149,L,300.1,309.2,1512,51.6,5,0,0,0,0,0,0
285,M10085,M,300.1,309.2,1520,55.6,8,0,0,0,0,0,0
286,L50150,L,300.2,309.2,1676,51.4,10,1,0,0,1,0,0
287,L50151,L,300.2,309.2,1605,49.6,12,0,0,0,0,0,0
288,L50152,L,300.1,309.2,1765,40.6,14,0,0,0,0,0,0
289,M10086,M,300.1,309.2,1567,50.2,17,0,0,0,0,0,0
290,L50153,L,300.1,309.1,1627,43.6,19,0,0,0,0,0,0
291,H70052,H,300.1,309.1,1519,59.5,24,1,0,0,1,0,0
292,L50154,L,300.1,309.1,1880,30.8,26,0,0,0,0,0,0
293,H70053,H,300.1,309.1,1514,46.7,31,0,0,0,0,0,0
294,L50155,L,300.0,309.0,1670,27.4,33,0,0,0,0,0,0
295,H70054,H,300.0,309.0,1527,46.8,38,0,0,0,0,0,0
296,H70055,H,300.0,309.0,1791,22.8,43,0,0,0,0,0,0
297,H70056,H,300.0,309.1,1610,27.9,48,0,0,0,0,0,0
298,H70057,H,300.0,309.0,1881,27.2,53,0,0,0,0,0,0
299,M10087,M,299.9,309.0,1644,42.5,56,0,0,0,0,0,0
300,M10088,M,299.9,309.0,1669,43.5,59,0,0,0,0,0,0
301,M10089,M,300.0,309.1,1564,64.5,62,1,0,0,1,0,0
302,L50156,L,300.0,309.1,1653,39.1,64,0,0,0,0,0,0
303,M10090,M,300.0,309.1,1621,47.7,67,0,0,0,0,0,0
304,M10091,M,300.1,309.1,1649,41.6,70,0,0,0,0,0,0
305,H70058,H,300.0,309.1,1661,46.9,75,0,0,0,0,0,0
306,L50157,L,300.0,309.0,1569,41.4,77,0,0,0,0,0,0
307,L50158,L,299.9,308.9,1504,51.0,79,0,0,0,0,0,0
308,M10092,M,299.9,309.0,1779,29.5,82,0,0,0,0,0,0
309,L50159,L,300.0,309.0,1777,15.5,84,1,0,0,1,0,0
310,L50160,L,300.0,309.0,1448,44.2,86,0,0,0,0,0,0
311,L50161,L,300.0,309.0,1701,21.9,88,0,0,0,0,0,0
312,L50162,L,300.0,308.9,1719,53.1,90,1,0,0,1,0,0
313,L50163,L,299.9,308.9,1664,34.5,92,0,0,0,0,0,0
314,L50164,L,300.0,309.0,1656,29.6,94,0,0,0,0,0,0
315,L50165,L,300.0,309.0,1375,67.0,96,1,0,0,1,0,0
316,L50166,L,300.0,309.0,1600,39.8,98,0,0,0,0,0,0
317,L50167,L,299.9,308.9,1556,37.9,100,0,0,0,0,0,0
318,M10093,M,300.0,309.0,1650,47.5,103,0,0,0,0,0,0
319,L50168,L,300.0,309.0,2032,48.2,105,1,0,0,1,0,0
320,H70059,H,299.9,308.9,1558,51.4,110,0,0,0,0,0,0
321,H70060,H,299.9,308.9,1651,26.7,115,0,0,0,0,0,0
322,L50169,L,299.8,308.8,1760,45.4,117,0,0,0,0,0,0
323,L50170,L,299.8,308.9,1602,37.1,119,0,0,0,0,0,0
324,M10094,M,299.8,308.9,1635,30.8,122,0,0,0,0,0,0
325,H70061,H,299.8,308.9,1626,40.5,127,0,0,0,0,0,0
326,M10095,M,299.9,308.9,1735,21.9,130,0,0,0,0,0,0
327,H70062,H,299.9,308.9,1645,49.2,135,0,0,0,0,0,0
328,M10096,M,299.9,308.9,1749,37.1,138,0,0,0,0,0,0
329,M10097,M,299.9,308.9,1752,35.2,141,0,0,0,0,0,0
330,L50171,L,300.0,309.0,1876,38.6,143,0,0,0,0,0,0
331,M10098,M,300.0,309.0,1506,38.3,146,0,0,0,0,0,0
332,L50172,L,299.9,309.0,1611,51.4,148,0,0,0,0,0,0
333,M10099,M,299.9,309.0,1660,29.0,151,0,0,0,0,0,0
334,H70063,H,299.9,309.0,1851,36.2,156,0,0,0,0,0,0
335,L50173,L,299.8,308.9,1677,37.8,158,0,0,0,0,0,0
336,M10100,M,299.8,308.9,1523,29.3,161,0,0,0,0,0,0
337,L50174,L,299.8,308.9,1681,41.6,163,0,0,0,0,0,0
338,M10101,M,299.8,308.9,1712,32.8,166,0,0,0,0,0,0
339,L50175,L,299.7,308.9,1791,26.0,168,0,0,0,0,0,0
340,H70064,H,299.7,308.8,1558,45.3,173,0,0,0,0,0,0
341,L50176,L,299.7,308.9,1599,55.5,175,1,0,0,1,0,0
342,H70065,H,299.8,308.9,1623,40.5,180,0,0,0,0,0,0
343,H70066,H,299.8,308.9,1595,39.0,185,0,0,0,0,0,0
344,M10102,M,299.8,308.9,1687,38.8,188,0,0,0,0,0,0
345,M10103,M,299.8,308.9,1691,34.8,191,0,0,0,0,0,0
346,M10104,M,299.7,308.9,1684,51.7,194,1,0,0,1,0,0
347,H70067,H,299.7,308.8,1648,40.9,199,0,0,0,0,0,0
348,L50177,L,299.7,308.9,1818,18.2,201,1,0,0,1,0,0
349,M10105,M,299.7,308.9,1479,52.0,204,0,0,0,0,0,0
350,L50178,L,299.8,308.9,1726,49.5,206,1,1,0,0,0,0
351,M10106,M,299.8,308.9,1549,46.0,209,0,0,0,0,0,0
352,L50179,L,299.8,308.9,2295,12.4,211,1,1,0,1,0,0
353,M10107,M,299.8,308.9,1674,40.0,214,0,0,0,0,0,0
354,M10108,M,299.7,308.8,1616,48.9,217,0,0,0,0,0,0
355,L50180,L,299.8,308.8,1699,43.8,219,1,1,0,0,0,0
356,M10109,M,299.7,308.8,1447,42.1,222,0,0,0,0,0,0
357,M10110,M,299.7,308.8,1552,49.0,225,0,0,0,0,0,0
358,M10111,M,299.6,308.7,1710,41.4,228,0,0,0,0,0,0
359,L50181,L,299.7,308.8,1760,52.0,230,1,1,0,1,1,0
360,M10112,M,299.7,308.8,1639,41.6,233,1,1,0,0,0,0
361,H70068,H,299.8,308.9,1426,40.8,238,0,0,0,0,0,0
362,L50182,L,299.8,308.9,1575,48.9,240,1,0,0,0,1,0
363,L50183,L,299.8,308.9,1665,36.0,242,0,0,0,0,0,0
364,L50184,L,299.8,308.9,1807,29.0,244,0,0,0,0,0,0
365,M10113,M,299.8,308.9,1654,40.0,247,0,0,0,0,0,0
366,L50185,L,299.7,308.8,1504,45.9,249,1,0,0,0,1,0
367,M10114,M,299.7,308.8,1689,49.3,252,1,0,0,0,1,0
368,M10115,M,299.7,308.8,1653,49.3,9,0,0,0,0,0,0
369,L50186,L,299.7,308.8,1591,39.3,11,0,0,0,0,0,0
370,H70069,H,299.7,308.8,1724,38.3,16,0,0,0,0,0,0
371,M10116,M,299.7,308.8,1632,34.1,19,0,0,0,0,0,0
372,L50187,L,299.7,308.9,2030,42.5,21,1,0,0,1,0,0
373,L50188,L,299.7,308.9,1688,23.6,23,0,0,0,0,0,0
374,L50189,L,299.8,308.9,1621,40.2,25,0,0,0,0,0,0
